"Groups Settings","Lets you manage permission levels and related settings of a group.",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Identity and Access Management (IAM)","Manages identity and access control for Google Cloud Platform resources, including the creation of s",v1,"30-01-2016 23:13:22","19-02-2018 08:08:39"
"Google Identity Toolkit","Help the third party sites to implement federated login.",v3,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Knowledge Graph Search","Searches the Google Knowledge Graph for entities.",v1,"16-12-2015 14:39:52","19-02-2018 08:08:39"
"Google Cloud Natural Language","Provides natural language understanding technologies to developers. Examples include sentiment analy",v1,"22-11-2016 15:57:03","19-02-2018 08:08:39"
"Enterprise License Manager","Views and manages licenses for your domain.",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Stackdriver Logging","Writes log entries and manages your Stackdriver Logging configuration.",v2,"08-10-2015 16:46:43","19-02-2018 08:08:39"
"Manufacturer Center","Public API for managing Manufacturer Center related data.",v1,"30-10-2016 20:34:09","19-02-2018 08:08:39"
"Google Mirror","Interacts with Glass users via the timeline.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google Cloud Machine Learning Engine","An API to enable creating and using machine learning models.",v1,"02-10-2016 08:32:49","11-12-2017 13:21:54"
"Stackdriver Monitoring","Manages your Stackdriver Monitoring data and configurations. Most projects must be associated with a",v3,"16-03-2016 19:45:29","19-02-2018 08:08:39"
"Google OAuth2","Obtains end-user authorization grants for use with other Google APIs.",v2,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Cloud OS Login","Manages OS login configuration for Google account users.",v1,"25-09-2017 11:04:46","19-02-2018 08:08:39"
"PageSpeed Insights","Analyzes the performance of a web page and provides tailored suggestions to make that page faster.",v2,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google Partners","Searches certified companies and creates contact leads with them, and also audits the usage of clien",v2,"15-07-2015 20:10:05","19-02-2018 08:08:39"
"Google People","Provides access to information about profiles and contacts.",v1,"17-02-2016 13:10:35","19-02-2018 08:08:39"
"Google Play Custom App Publishing","An API to publish custom Android apps.",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Play Movies Partner","Gets the delivery status of titles for Google Play Movies Partners.",v1,"09-06-2015 12:48:30","23-10-2017 15:30:38"
Google+,"Builds on top of the Google+ platform.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google+ Domains","Builds on top of the Google+ platform for Google Apps Domains.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
Poly,"The Poly API provides read-only access to assets hosted on <a href=""https://poly.google.com"">poly.go",v1,"11-12-2017 06:36:53","19-02-2018 08:08:39"
Prediction,"Lets you access a cloud hosted machine learning service that makes it easy to build smart apps",v1.6,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Proximity Beacon","Registers, manages, indexes, and searches beacons.",v1beta1,"16-12-2015 14:39:52","19-02-2018 08:08:39"
"Google Cloud Pub/Sub","Provides reliable, many-to-many, asynchronous messaging between applications.
",v1,"16-12-2015 14:39:52","19-02-2018 08:08:39"
"QPX Express","Finds the least expensive flights between an origin and a destination.",v1,"22-02-2015 20:00:45","04-10-2017 10:07:54"
"Google Compute Engine Instance Group Manager","[Deprecated. Please use Instance Group Manager in Compute API] Provides groups of homogenous Compute",v1beta2,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Compute Engine Instance Group Updater","[Deprecated. Please use compute.instanceGroupManagers.update method. replicapoolupdater API will be ",v1beta1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Enterprise Apps Reseller","Creates and manages your customers and their subscriptions.",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Compute Engine Instance Groups","The Resource View API allows users to create and manage logical sets of Google Compute Engine instan",v1beta2,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Cloud Runtime Configuration","The Runtime Configurator allows you to dynamically configure and expose variables through Google Clo",v1,"25-01-2016 14:37:32","19-02-2018 08:08:39"
"Google Safe Browsing","Enables client applications to check web resources (most commonly URLs) against Google-generated lis",v4,"27-04-2016 13:30:31","19-02-2018 08:08:39"
"Google Apps Script","An API for managing and executing Google Apps Script projects.",v1,"28-09-2015 21:22:10","19-02-2018 08:08:39"
"Google Search Console URL Testing Tools","Provides tools for running validation tests against single URLs",v1,"22-05-2016 12:37:44","19-02-2018 08:08:39"
"Service Consumer Management","Provides management methods for configuring service producer resources on Google Cloud.",v1,"04-08-2016 10:54:01","19-02-2018 08:08:39"
"Google Service Control","Google Service Control provides control plane functionality to managed services, such as logging, mo",v1,"04-08-2016 10:54:01","19-02-2018 08:08:39"
"Google Service Management","Google Service Management allows service producers to publish their services on Google Cloud Platfor",v1,"04-08-2016 10:54:01","19-02-2018 08:08:39"
"Google Service User","Enables services that service consumers want to use on Google Cloud Platform, lists the available or",v1,"04-08-2016 10:54:01","19-02-2018 08:08:39"
"Google Sheets","Reads and writes Google Sheets.",v4,"22-05-2016 12:37:44","19-02-2018 08:08:39"
"Google Site Verification","Verifies ownership of websites or domains with Google.",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Slides","An API for creating and editing Google Slides presentations.",v1,"22-11-2016 15:57:03","19-02-2018 08:08:39"
"Cloud Source Repositories","Access source code repositories hosted by Google.",v1,"16-03-2017 10:54:08","19-02-2018 08:08:39"
"Cloud Spanner","Cloud Spanner is a managed, mission-critical, globally consistent and scalable relational database s",v1,"16-03-2017 10:54:08","19-02-2018 08:08:39"
"Google Spectrum Database","API for spectrum-management functions.",v1explorer,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google Cloud Speech","Converts audio to text by applying powerful neural network models.",v1,"25-01-2016 14:37:32","19-02-2018 08:08:39"
"Cloud SQL Administration","Creates and configures Cloud SQL instances, which provide fully-managed MySQL databases.",v1beta4,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Cloud Storage","Stores and retrieves potentially large, immutable data objects.",v1,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"Google Storage Transfer","Transfers data from external data sources to a Google Cloud Storage bucket or between Google Cloud S",v1,"16-12-2015 14:39:52","19-02-2018 08:08:39"
"Street View Publish","Publishes 360 photos to Google Maps, along with position, orientation, and connectivity metadata. Ap",v1,"25-09-2017 11:04:46","19-02-2018 08:08:39"
Surveys,"Creates and conducts surveys, lists the surveys that an authenticated user owns, and retrieves surve",v2,"08-04-2016 19:10:13","22-01-2018 16:20:40"
"Tag Manager","Accesses Tag Manager accounts and containers.",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
TaskQueue,"Accesses a Google App Engine Pull Task Queue over REST.",v1beta2,"22-02-2015 20:00:45","22-01-2018 16:20:40"
Tasks,"Lets you manage your tasks and task lists.",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Cloud Testing","Allows developers to run automated tests for their mobile applications on Google infrastructure.",v1,"25-09-2017 11:04:46","19-02-2018 08:08:39"
"Cloud Tool Results","Reads and publishes results from Firebase Test Lab.",v1beta3,"08-03-2016 22:45:20","19-02-2018 08:08:39"
"Cloud TPU","TPU API provides customers with access to Google TPU technology.",v1alpha1,"25-01-2016 14:37:32","19-02-2018 08:08:39"
"Stackdriver Trace","Send and retrieve trace data from Stackdriver Trace. Data is generated and available by default for ",v2,"24-04-2017 10:15:00","11-07-2017 07:50:08"
"Google Cloud Translation","The Google Cloud Translation API lets websites and programs integrate with
    Google Translate prog",v2,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"URL Shortener","Lets you create, inspect, and manage goo.gl short URLs",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Google Vault","Archiving and eDiscovery for G Suite.",v1,"25-09-2017 11:04:46","19-02-2018 08:08:39"
"Cloud Video Intelligence","Cloud Video Intelligence API.",v1beta1,"25-01-2016 14:37:32","19-02-2018 08:08:39"
"Google Cloud Vision","Integrates Google Vision features, including image labeling, face, logo, and landmark detection, opt",v1,"04-02-2016 01:12:42","19-02-2018 08:08:39"
"Google Fonts Developer","Accesses the metadata for all families served by Google Fonts, providing a list of families currentl",v1,"22-02-2015 20:00:45","22-01-2018 16:20:40"
"Search Console","View Google Search Console data for your verified sites.",v3,"22-02-2015 20:00:45","19-02-2018 08:08:39"
"YouTube Data","Supports core YouTube features, such as uploading videos, creating and managing playlists, searching",v3,"22-02-2015 20:00:45","20-02-2018 17:15:51"
"YouTube Analytics","Retrieves your YouTube Analytics data.",v1,"22-02-2015 20:00:45","20-02-2018 17:15:51"
"YouTube Reporting","Schedules reporting jobs containing your YouTube Analytics data and downloads the resulting bulk dat",v1,"16-12-2015 14:39:52","20-02-2018 17:15:51"
"BC Data Catalogue","This API provides live access to the BC Data Catalogue. Further documentation on the API is availabl",3.0.1,"20-04-2017 18:04:18","20-04-2017 18:04:18"
"BC Geographical Names Web Service -","This REST API provides searchable access to information about geographical names in the province of ",3.x.x,"20-04-2017 18:04:18","20-04-2017 18:04:18"
Geocoder,"This API represents address cleaning, correction, completion, geocoding, reverse geocoding, and prox",2.0.0,"20-04-2017 18:04:18","25-11-2017 10:53:03"
"GeoMark Web Service","The Geomark Web Service allows you to create and share geographic areas of interest over the web in ",4.1.2,"20-04-2017 18:04:18","23-10-2017 13:10:35"
"WorkBC Job Posting","This API allows you to receive a feed of jobs from WorkBC's Job Board. Please see our <a href=""https",1.0.0,"20-04-2017 18:04:18","25-11-2017 10:53:03"
"DriveBC's Open511","This API is DriveBC's implementation of the Open511 specification.  It provides information about kn",1.0.0,"20-04-2017 18:04:18","25-11-2017 10:53:03"
"BC Route Planner","Finds shortest/fastest route between a start point and one or more stop points on British Columbia's",1.2.0,"20-04-2017 18:04:18","23-10-2017 13:10:35"
"Route Optimization","Our Route Optimization API solves the so called vehicle routing problem fast. It calculates an optim",1.0,"16-11-2015 20:41:24","04-04-2017 17:27:32"
"Greenwire Public","Greenpeace Greenwire allows you connect with other volunteers, activists and groups working on envir",1.0.0,"23-02-2018 08:36:47","23-02-2018 08:36:47"
"Discovery Market Research","<p>This API drives the <a href=""https://discovery.gsa.gov"">Discovery Market Research Tool</a>.
It co",0.1,"18-06-2015 13:18:55","19-02-2018 08:08:39"
HackathonWatch,,0.1,"26-11-2017 14:05:20","26-11-2017 14:05:20"
Metadata,"API that provides Metadata information.",1.0,"27-11-2017 19:00:45","27-11-2017 20:19:37"
Profile,"API that provides Profile information about Players.",1.0,"27-11-2017 20:21:00","27-11-2017 20:21:00"
Stats,"API that provides statistical data about Players and Matches.",1.0,"27-11-2017 20:21:31","22-01-2018 15:44:32"
UGC,"API that provides Metadata about User-Generated Content (Maps and Game Variants).",1.0,"27-11-2017 20:20:12","27-11-2017 20:20:12"
Healthcare,,1.0.0,"05-12-2015 06:47:56","04-04-2017 17:27:32"
"hetras Booking API Version 0",,v0,"02-07-2015 13:47:37","19-02-2018 08:08:39"
"hetras Hotel API Version 0",,v0,"29-10-2015 17:09:43","19-02-2018 08:08:39"
"HHS Media Services","
<div class=""swagger-ui-wrap extraFooter""><h3>Common Features / Behaviors</h3>
    <div class=""featu",2,"09-11-2015 22:55:27","20-11-2017 15:10:56"
"HSBC UK",,1.0.0,"25-11-2017 17:57:32","25-11-2017 17:57:32"
Icons8,"Icons8 API allows us to search and obtain [our icons](https://icons8.com/web-app).

You're welcome t",1.0.0,"28-09-2017 13:50:57","18-12-2017 08:20:02"
"Active Documentation for /v1","Our active docs provide the ability to test out your account and to see the responses to your querie",1.1.7,"07-09-2015 18:18:34","05-02-2018 07:13:13"
"IoE² IoT API - to create end-user applications",,3.0.0,"01-02-2017 11:44:50","30-05-2017 07:45:19"
IllumiDesk,,1.0,"26-09-2017 13:42:23","19-02-2018 08:08:39"
import.io,,1.0,"15-01-2017 22:52:58","18-12-2017 07:27:05"
import.io,,1.0,"15-01-2017 22:52:58","18-12-2017 07:27:05"
import.io,,1.0,"15-01-2017 22:52:58","18-12-2017 07:27:05"
import.io,,1.0,"15-01-2017 22:52:58","18-12-2017 07:27:05"
import.io,,1.0,"15-01-2017 22:52:58","18-12-2017 07:27:05"
Mailsquad,"MailSquad offers an affordable and super easy way to create, send and track delightful emails.",0.9,"22-10-2015 19:48:00","29-04-2017 11:24:42"
Infermedica,"Empower your healthcare services with intelligent diagnostic insights of Infermedica API.",v2,"08-02-2018 09:43:30","08-02-2018 09:43:30"
Instagram,"Description of Instagram RESTful API.

Current limitations:
  * Instagram service does not support [",1.0.0,"05-08-2015 18:22:21","11-01-2018 10:12:02"
Instawell,"The Instawell API gives you access to  helpers all over the world. Integrate Instawell with your app",1.0,"14-11-2017 15:56:36","14-11-2017 15:56:36"
iQualify,"The iQualify API offers management and analytics responses for building
learning experiences using y",v1,"27-11-2017 10:56:45","22-01-2018 15:44:32"
"API iSendPro","[1] Liste des fonctionnalités :
- envoi de SMS à un ou plusieurs destinataires,
- lookup HLR,
- r�",1.0.0,"27-11-2017 10:56:57","27-11-2017 12:55:03"
"Entertainment Express","Your Gateway to Building Incredible Movie, TV, and Game Content Discovery Experiences.",2.0,"25-11-2017 18:31:14","30-11-2017 17:31:05"
"Jirafe Events","API endpoins for sending Jirafe events",2.0.0,"11-11-2015 23:47:36","20-11-2017 15:10:56"
"Jumpseller API","Explore all our endpoints with your own set of of access tokens. All changes affect your production ",1,"25-11-2017 11:27:33","05-02-2018 08:23:20"
"koomalooma Partner","This is the koomalooma Partner API. koomalooma is the first Loyalty BPaaS (Business Process as a Ser",1.0,"26-11-2017 18:10:14","26-11-2017 18:10:14"
Deed,"Land Registry Deed API",1.0.0,"24-02-2018 17:19:57","24-02-2018 17:19:57"
LaunchDarkly,"Build custom integrations with the LaunchDarkly REST API",2.0.0,"29-09-2017 06:46:56","19-02-2018 08:08:39"
Learnifier,,1.1.0,"06-11-2015 17:45:48","27-02-2018 17:51:33"
link.fish,"API to easily extract data from websites.


# Base URL


All URLs referenced in the documentation ha",2017-12-01,"11-12-2017 13:15:36","11-12-2017 13:57:27"
LotaData,"Access the most exhaustive, accurate and up-to-date collection of global and hyper-local geocoded ev",2.0.0,"04-09-2017 13:21:43","04-09-2017 13:21:43"
"LH Partner",,1.0,"08-08-2017 12:19:23","08-08-2017 12:19:23"
"LH Public",,1.0,"08-08-2017 12:19:23","22-01-2018 15:44:32"
Lyft,"Drive your app to success with Lyft's API",1.0.0,"22-04-2017 14:11:24","04-09-2017 12:48:35"
"Magento Enterprise","Magento Commerce is the leading provider of open omnichannel innovation.",2.1,"30-09-2016 14:10:15","26-06-2017 18:31:20"
Tradeworks,"Authentication is required to access all methods of the API. Enter username and password.
          ",1.0,"13-07-2015 11:41:15","07-12-2017 12:01:39"
Mandrill,"Mandrill is a reliable, scalable, and secure delivery API for transactional emails from websites and",1.0,"09-12-2015 12:55:37","04-04-2017 17:27:32"
"Geo DB","This developer-centric REST API focuses on getting global city and region data. Easily obtain countr",1.0.0,"30-10-2017 12:32:36","04-01-2018 14:42:04"
"Rat Genome Database","The RGD REST API provides programmatic access to information and annotation stored in the Rat Genome",1.1,"26-11-2017 18:06:00","19-02-2018 08:08:39"
Medium.com,"Medium’s unofficial API documentation using OpenAPI specification.

# Official API
Official API do",1.0.0,"28-08-2016 17:23:44","28-08-2017 20:12:53"
Miataru,"The Miataru API is very simple and straight forward. Generally you're posting (HTTP POST) a JSON for",1.0.0,"23-02-2018 07:43:18","23-02-2018 07:43:18"
"Custom Search","The Bing Custom Search API lets you send a search query to Bing and get back search results customiz",1.0,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Entity Search","The Entity Search API lets you send a search query to Bing and get back search results that include ",1.0,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Image Search","The Image Search API lets you send a search query to Bing and get back a list of relevant images. Th",1.0,"12-12-2017 10:25:16","19-02-2018 08:41:37"
"News Search","The News Search API lets you send a search query to Bing and get back a list of news that are releva",1.0,"02-01-2018 11:52:51","19-02-2018 08:41:37"
"Spell Check","The Spell Check API - V7 lets you check a text string for spelling and grammar errors.",1.0,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Video Search","The Video Search API lets you search on Bing for video that are relevant to the user's search query,",1.0,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Web Search","The Web Search API lets you send a search query to Bing and get back search results that include lin",1.0,"04-12-2017 09:12:06","19-02-2018 08:41:37"
"Moon by Ai Weiwei & Olafur Eliasson","Turn nothing into something – make a drawing, make a mark.",1.0,"09-07-2015 09:55:26","20-11-2017 15:10:56"
MotaWord,"Use MotaWord API to post and track your translation projects.",alpha-0.1.0,"20-10-2015 18:10:11","03-10-2017 18:39:36"
kinto,,1.18,"18-04-2017 11:07:00","19-02-2018 08:08:39"
"Native Ads Publisher","This is a Native Ads Publisher API it provides same functionality as Native Ads Publisher Account GU",1.0.0,"22-09-2015 16:21:28","16-10-2017 11:19:49"
Advicent.FactFinderService,"An API for accessing the Narrator Fact Finder.",v1,"26-11-2017 17:48:36","11-12-2017 13:15:36"
"Published Plan Service","An API for accessing NaviPlan plan data for a client.",v1,"26-11-2017 17:48:36","11-12-2017 13:15:36"
"NBA Stats","The destination for current and historic NBA statistics.",1.0.0,"26-04-2017 10:32:14","10-07-2017 15:08:59"
"NeoWs - (Near Earth Object Web Service)","A web service for near earth objects. All the data is from the  <a href=""http://neo.jpl.nasa.gov/"" t",1.0,"07-09-2015 18:18:34","20-11-2017 15:10:56"
Netatmo,"<h3>Welcome to the Netatmo swagger on-line documentation !</h3>This site is a complement to the offi",1.1.1,"31-05-2016 00:33:40","20-09-2017 08:20:19"
"Labs64 NetLicensing RESTful API Test Center","The Labs64 <a href='https://www.labs64.de/confluence/x/pwCo' target='_blank'>NetLicensing RESTful AP",2.x,"22-09-2015 16:21:28","16-10-2017 11:20:39"
"Netlify's API definition",,0.1.0,"30-09-2016 18:12:53","22-02-2018 19:22:46"
NeutrinoAPI,"The general-purpose API",3.3.5,"13-04-2017 09:20:16","04-01-2018 14:42:04"
"nFusion Solutions Market Data API v1","nFusion Solutions provides REST and streaming APIs that deliver enterprise-grade financial data. Dat",1,"13-11-2017 11:43:08","22-01-2018 15:44:32"
"NPR One API Reference","NPR One is a smart application that brings the best of NPR and Member Station programming, newscasts",Calcium,"04-09-2017 15:32:00","19-02-2018 08:08:39"
"High Performance Building Database","The Buildings Database is a shared resource for the building industry. The Database, developed by th",1.0,"21-09-2015 15:57:40","27-01-2018 12:11:20"
"Transportation Laws and Incentives","Query our database of State and Federal Laws and Incentives for Alternative Fuels",0.1.0,"14-07-2015 11:50:33","27-01-2018 12:11:20"
"NSIDC Web Service Documentation Index","This API allows programmers to build National Snow and Ice Data Center data and metadata services in",1.0.0,"14-07-2015 11:50:33","20-11-2017 15:10:56"
Archive,"The Archive API provides lists of NYT articles by month going back to 1851.  You can use it to build",1.0.0,"25-11-2017 11:10:42","18-12-2017 08:36:39"
"Article Search","With the Article Search API, you can search New York Times articles from Sept. 18, 1851 to today, re",1.0.0,"02-09-2016 10:48:54","04-04-2017 17:27:32"
Books,"The Books API provides information about book reviews and The New York Times bestsellers lists.",3.0.0,"02-09-2016 10:48:54","04-04-2017 17:27:32"
Community,"Get access to comments from registered users on New York Times articles.  NOTE: This API is deprecat",3.0.0,"02-09-2016 10:48:54","27-06-2017 16:49:57"
Geographic,"The Geographic API extends the Semantic API, using a linked data approach to enhance location concep",1.0.0,"02-09-2016 10:48:54","04-04-2017 17:27:32"
"Most Popular","Get lists of NYT Articles based on shares, emails, and views.",2.0.0,"20-10-2016 16:26:05","04-04-2017 17:27:32"
"Movie Reviews","With the Movie Reviews API, you can search New York Times movie reviews by keyword and get lists of ",2.0.0,"02-09-2016 10:48:54","04-04-2017 17:27:32"
Semantic,"The Semantic API complements the Articles API. With the Semantic API, you get access to the long lis",2.0.0,"02-09-2016 10:48:54","04-04-2017 17:27:32"
TimesTags,"With the TimesTags API, you can mine the riches of the New York Times tag set. The TimesTags service",1.0.0,"02-09-2016 10:48:54","30-10-2017 21:46:24"
"Times Newswire","With the Times Newswire API, you can get links and metadata for Times articles and blog posts as soo",3.0.0,"02-09-2016 10:48:54","19-02-2018 08:08:39"
"Top Stories","The Top Stories API provides lists of articles and associated images by section.",2.0.0,"02-09-2016 10:48:54","04-04-2017 17:27:32"
Mobility,"Transit API can be used to obtain time-aggregated data representing moving the people between variou",1.0-M6-SNAPSHOT,"15-08-2017 08:06:40","15-08-2017 08:06:40"
Socio-demo,"Socio-demo API can be used to obtain time-aggregated data representing groups of people on the given",1.0-M6-SNAPSHOT,"15-08-2017 08:06:40","15-08-2017 08:06:40"
ODWeather,"This is the api to access the ODWeather API information",1.0,"19-09-2015 02:16:17","20-11-2017 15:10:56"
OMDb,"The Open Movie Database. The OMDb API is a free web service to obtain movie information, all content",1,"14-07-2016 13:26:47","04-04-2017 17:27:32"
"Swagger2OpenAPI Converter","Converter and validator for Swagger 2.0 to OpenAPI 3.0.x definitions",1.0.0,"22-03-2017 09:54:54","30-10-2017 21:46:24"
"Open Data","Latest Swagger specification for OpenData",v1.3,"01-08-2017 17:06:31","30-08-2017 18:34:23"
"OpenCage Geocoder","Worldwide forward and reverse geocoding",1,"31-05-2016 10:55:27","30-05-2017 13:23:20"
opendatasoft,,2.1.0,"26-11-2017 17:08:21","27-11-2017 12:59:09"
OpenFinTech.io,"# Introduction
[OpenFinTech.io](https://openfintech.io) is an open database that comprises of standa",2017-08-24,"20-09-2017 13:52:55","11-02-2018 11:07:43"
"Open Targets Platform","### The Open Targets Platform REST API

The Open Targets Platform API ('Application Programming Inte",3.0.1,"08-02-2018 09:18:50","20-02-2018 08:55:53"
OrgHunter,"Get the latest IRS data and most up to date charity information for your website or application",1.0.0,"07-09-2015 18:18:34","11-04-2017 19:58:07"
"OSF APIv2 Documentation","## https://api.osf.io/v2/",2.0,"26-11-2017 17:01:19","19-02-2018 08:08:39"
"PI Web API 2017 Swagger Spec","Swagger Spec file that describes PI Web API",1.9.0.266,"04-09-2017 12:24:26","04-09-2017 12:24:26"
Owler,"Search for information on companies using a website or company name and get access to Company Data, ",1.0.0,"21-06-2015 13:58:25","22-01-2018 15:44:32"
"Oxford Dictionaries",,1.8.0,"30-10-2016 20:46:38","18-12-2017 07:27:05"
paccurate.io,,0.1.1,"26-11-2017 17:34:13","05-02-2018 08:23:20"
"Pandorabots AIaaS","AIaaS provides API access to our bot hosting platform and SDKs, allowing developers to easily integr",1.0.0,"02-07-2015 14:21:19","20-11-2017 15:10:56"
PasswordUtility.Web,"Validate and generate passwords using open source tools",v1,"22-09-2015 16:21:28","04-04-2017 17:27:32"
PatientView,"The recommended REST API endpoints to be used when integrating with PatientView",1.0,"07-09-2015 18:18:34","20-11-2017 15:10:56"
Paylocity,"For general questions and support of the API, contact: vendorrelations@paylocity.com
# Overview

Pay",2,"27-11-2017 10:57:16","27-11-2017 10:57:16"
"GOV.UK Pay Api","GOV.UK Pay Api",1.0.0,"23-02-2018 08:31:20","23-02-2018 08:31:20"
PayRun.IO,"Open, scableable, transparent payroll API.",17.18.6.230,"26-11-2017 15:09:17","19-02-2018 08:08:39"
"Peel Tune-in API","The machine learning service APIs utilize hashtags from Twitter to find related, trending shows, rel",1.0.0,"16-06-2015 18:10:07","23-01-2018 07:44:16"
Authentication,"Personio Authentication API",1.0,"23-02-2018 08:21:55","23-02-2018 08:21:55"
"Personnel Data","API for reading and writing personnel data incl. data about attendances and absences",1.0,"23-02-2018 08:21:55","23-02-2018 08:21:55"
"Polling Places","
This data set contains the list of polling places. It can be organized by ward/division, accessibil",1.0,"24-02-2018 17:02:15","24-02-2018 17:02:15"
Polygon,"The future of fintech.",1.0.0,"26-11-2017 16:58:20","27-11-2017 13:03:31"
"Postmark Account-level","Postmark makes sending and receiving email 
incredibly easy. The Account-level API allows users to
c",0.9.0,"09-08-2017 17:36:25","30-10-2017 21:46:24"
Postmark,"Postmark makes sending and receiving email
incredibly easy.
",1.0.0,"09-08-2017 17:36:25","30-10-2017 21:46:24"
posty_API,"The posty_API is the core element of the posty softwarestack. It is developed to administrate a mail",v1,"16-07-2015 21:11:55","20-11-2017 15:10:56"
"PTV Timetable API - Version 3","The PTV Timetable API provides direct access to Public Transport Victoria’s public transport timet",v3,"11-08-2017 08:23:28","23-10-2017 13:10:35"
"Qualpay Payment Gateway","This document describes the Qualpay Payment Gateway API.",1.7,"11-12-2017 13:15:36","29-01-2018 10:51:01"
"Request Baskets","RESTful API of [Request Baskets](https://rbaskets.in) service.

Request Baskets is an open source pr",0.5,"08-04-2016 15:45:42","16-10-2017 11:24:38"
Rebilly,"# Introduction
The Rebilly API is built on HTTP.  Our API is RESTful.  It has predictable
resource U",2.1,"07-07-2016 10:27:47","19-02-2018 08:08:39"
"Refuge Restrooms","REFUGE is a web application that seeks to provide safe restroom access for transgender, intersex, an",v1,"12-11-2015 00:50:18","20-11-2017 15:10:56"
reverb,reverb,3.0,"10-11-2015 23:56:38","19-02-2018 08:08:39"
Ritc,"Rules in the Cloud",1.0.0,"20-03-2017 21:37:42","04-04-2017 17:27:32"
RiteKit,"RiteKit API is based on REST principles.

Authentication uses standard OAuth 2.0 process

##Getting ",1.0.0,"05-09-2017 12:17:33","19-02-2018 08:08:39"
CompanyAPI,,1.0,"27-11-2017 10:57:48","27-11-2017 10:57:48"
"Rotten Tomatoes","Test our API services using I/O Docs.",1.0,"23-10-2016 14:41:11","27-06-2017 09:18:15"
Seldon,"Seldon is an Open Predictive Platform that currently allows item recommendations and general predict",1.0.0,"12-06-2015 14:36:17","04-04-2017 17:27:32"
Runscope,"Manage Runscope programmatically.",1.0.0,"08-05-2017 16:28:49","20-09-2017 08:20:19"
"SalesLoft Platform","SalesLoft helps transform sales teams into modern sales organizations  - converting more target acco",v2,"25-11-2017 12:50:21","05-02-2018 08:23:20"
"SchoolDigger API V1","Get detailed data on over 120,000 schools and 18,500 districts in the U.S.",v1,"26-02-2017 18:33:44","04-01-2018 14:42:04"
"Scrape Website Email API","ScrapeWebsiteEmail is a service that exposes an api to fetch e-mails from a website.",0.1,"02-07-2015 13:30:48","20-11-2017 15:10:56"
"SelectPdf HTML To PDF","SelectPdf HTML To PDF Online REST API is a professional solution that lets you create PDF from web p",1.0.0,"19-10-2017 08:08:12","19-10-2017 08:08:12"
Semantria,"Semantria applies Text and Sentiment Analysis to tweets, facebook posts, surveys, reviews or enterpr",4.0,"09-11-2015 23:23:31","22-01-2018 15:44:32"
"SendGrid v3","# The SendGrid Web API V3 Documentation

This is the entirety of the documented v3 endpoints. We hav",3.0,"23-03-2016 17:32:40","05-07-2017 12:57:32"
"ShipStation Developer Portal","# Integrating with ShipStation

ShipStation strives to streamline shipping for online sellers, no ma",1.0.0,"28-09-2017 12:50:00","19-02-2018 08:08:39"
SimplyRETS,"The SimplyRETS API is an exciting step towards making it easier for
developers and real estate agent",1.0.0,"11-11-2015 23:36:53","22-01-2018 15:44:32"
Slack,"One way to interact with the Slack platform is its HTTP RPC-based Web API, a collection of methods r",1.0.3,"05-12-2015 06:21:58","18-12-2017 07:27:05"
"SlideRoom API V2","SlideRoom provides a RESTful API for exporting data out of your organization's SlideRoom account.",v2,"13-06-2015 00:30:21","04-04-2017 17:27:32"
smart-me,"With the smart-me REST API you get Access to all your devices in the smart-me Cloud and you can add ",v1,"24-09-2015 14:03:16","22-01-2018 15:44:32"
"Solar VPS","This is the Solar VPS Public API. You can find more at http://www.solarvps.com",1.0.0,"19-07-2015 21:19:14","04-04-2017 17:27:32"
"SpectroCoin Merchant","This is an API designed for merchants who are using SpectroCoin services and wishes to integrate the",1.0.0,"16-06-2015 18:11:52","04-04-2017 17:27:32"
"Article Rewriter and Article Extractor","Spinbot.net propose a new solution based on high technologies for faster article spinner and extract",1.0,"22-11-2017 17:18:15","22-11-2017 17:18:15"
